"sftgcode","year","country","yrborn","yrdied","reg.eap","reg.afr","reg.eur","reg.mna","reg.sca","reg.amr","dosreg","auto.p","auto.lcl","auto.ucl","nomod.p","nomod.lcl","nomod.ucl","d.pitf","d.da","d.fh","d.bmr","d.dd","all","four","three","uds.mean","uds.sd","uds.median","uds.pct025","uds.pct975"
"ROK",1975,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",2.52246813825756e-05,1.66921740755311e-10,0.792189040964958,0.00291099100379803,1.99141350361086e-05,0.299719889466876,0,0,NA,0,0,0,1,1,-0.676922803511475,0.197135502390292,-0.677271856280867,-1.06195404713465,-0.297685872786524
"ROK",1976,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1.44195324579988e-05,1.15258516546547e-10,0.643369431757524,0.00898402560847867,6.32158278052816e-05,0.565208346416986,0,0,NA,0,0,0,1,1,-0.822338975897771,0.201924180776571,-0.821807728708273,-1.22059943349341,-0.434780623521579
"ROK",1977,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1.31928368933376e-05,1.3494983639297e-10,0.563276733488175,0.00246562783870775,1.97224097285919e-05,0.236503602880554,0,0,NA,0,0,0,1,1,-0.6739933890109,0.195622089831062,-0.67161877563914,-1.06245288725744,-0.303782869284471
"ROK",1978,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",8.91305337245952e-06,9.48757275597366e-11,0.455737090668719,0.00356380874169187,1.56437685007699e-05,0.449847156065026,0,0,NA,0,0,0,1,1,-0.760762007705371,0.219288443277361,-0.753954342069598,-1.21775987762277,-0.342603345607362
"ROK",1979,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",8.80667218183808e-06,1.16602646088442e-10,0.399455330443483,0.00254820743840645,6.80581580839119e-06,0.489526255890472,0,0,NA,0,0,0,1,1,-0.763252530409214,0.218950396525232,-0.762045653284106,-1.1925723274801,-0.351790218828677
"ROK",1980,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",6.97113319271146e-06,8.35843856918932e-11,0.367655681753173,0.00730116651732331,0.000139004187171585,0.280109422250079,0,0,NA,0,0,0,1,1,-0.73824057487529,0.177075045487346,-0.735209462877646,-1.09100439863539,-0.40562764100212
"ROK",1981,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",5.69800499526823e-06,8.07913038835915e-11,0.28666728129719,0.0101600374212944,0.000131318006123304,0.445120737521866,0,0,NA,0,0,0,1,1,-0.440145334072675,0.187872725062597,-0.433156315991559,-0.814848866643933,-0.0848978289037477
"ROK",1982,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",5.90443923542494e-06,9.17620718106957e-11,0.275323559391658,0.00589110146403526,3.9210231987453e-05,0.47245942116039,0,0,NA,0,0,0,1,1,-0.444476015573583,0.187358061526845,-0.438797803594515,-0.820431688028257,-0.0889527415117211
"ROK",1983,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",5.84726871960673e-06,1.37421370585427e-10,0.199233661901447,0.00286456842712018,7.67483581005e-06,0.518146573225282,0,0,NA,0,0,0,1,1,-0.513378439126053,0.196226450868013,-0.508921099163582,-0.90651895784565,-0.144498911639427
"ROK",1984,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",5.01829490458178e-06,1.41708170926147e-10,0.150897470521839,0.0027246502236505,5.92185683589273e-06,0.557613191367161,0,0,NA,0,0,0,1,1,-0.443474484357262,0.185955019759491,-0.441324533458423,-0.810194959704248,-0.0958639504699397
"ROK",1985,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",5.16925793583124e-06,1.5308899687936e-10,0.148609251143363,0.00613922934443187,2.75302143376912e-05,0.580883941390811,0,0,NA,0,0,0,1,1,-0.339291424758662,0.157157622625136,-0.336587039583009,-0.646468810720608,-0.0450322839514128
"ROK",1986,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",5.34748315962309e-06,1.8159092271593e-10,0.136049843906131,0.00233909106728941,5.42383269785316e-06,0.503350043635868,0,0,NA,0,0,0,1,1,-0.392175988145634,0.186836140348163,-0.392132965399022,-0.766436342160603,-0.0365832693191853
"ROK",1987,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",4.6457924606978e-06,1.39222930366303e-10,0.134220853308407,0.00552281457063073,3.71328800299082e-05,0.453710806533895,0,0,NA,0,0,0,1,1,0.0483611294599999,0.165182994387552,0.0485816619011663,-0.277550538133409,0.367023128304171
"ROK",1988,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,6.07154472101281e-14,1,0.997146542189903,0.674305283920957,0.999983046341798,1,1,NA,1,1,0,1,1,0.440898038883708,0.144840038511566,0.434583370970429,0.160376259284526,0.737283217760315
"ROK",1989,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,7.03346761497233e-14,1,0.998694679889864,0.714025435164826,0.999995734666364,1,1,1,1,1,1,1,1,0.678560830961192,0.190373924161625,0.674546563426923,0.315181943594195,1.06073118565217
"ROK",1990,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.68422079536149e-13,1,0.996867611185953,0.830357689248582,0.999951673382261,1,1,1,1,1,1,1,1,0.68012485389466,0.192277996626833,0.676734911733969,0.32584467750062,1.07052345544798
"ROK",1991,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,2.04056388766376e-13,1,0.997228080477512,0.696395096990873,0.999982278051771,1,1,1,1,1,1,1,1,0.674955453016084,0.191440644718177,0.669398925185262,0.316815535701788,1.05571154713035
"ROK",1992,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,2.16238715567103e-13,1,0.997691838269024,0.687195560624532,0.999988241769645,1,1,1,1,1,1,1,1,0.680779883927655,0.193755345157557,0.678511926138658,0.319447636541809,1.07098176263597
"ROK",1993,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.49706250177504e-12,1,0.996373036211802,0.818053168384788,0.99994042642438,1,1,1,1,1,1,1,1,0.745024734917749,0.197504211035157,0.74440728785598,0.370180509658175,1.12900125396253
"ROK",1994,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,4.26861036160429e-12,1,0.996992683706066,0.660901377912163,0.999982267204608,1,1,1,1,1,1,1,1,0.748898673986141,0.193283823232807,0.745195304830651,0.383907497227689,1.13245852499956
"ROK",1995,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,6.84929904031939e-12,1,0.996848601797833,0.571670251186501,0.999986661416277,1,1,1,1,1,1,1,1,0.744372799616541,0.196183386293472,0.738977610129493,0.365903363348495,1.1356160747771
"ROK",1996,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.66565392914946e-11,1,0.997364996538858,0.809329017376445,0.999970373402603,1,1,1,1,1,1,1,1,0.746409251954409,0.199053085847438,0.742719655633833,0.372554092596824,1.13995962761
"ROK",1997,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,5.96968108352141e-12,1,0.99758773420626,0.694039453138609,0.999986736410086,1,1,1,1,1,1,1,1,0.747268416881773,0.194899942268584,0.74196007732913,0.373706806623041,1.12846342201901
"ROK",1998,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,8.8509150065537e-12,1,0.996133454380564,0.782707671258289,0.999945732120414,1,1,1,1,1,1,1,1,0.868644273478533,0.204431027497991,0.865174171539614,0.476502733878261,1.27165839592111
