country,year,mean,se
LAT,1990,1.0881014720493138,1.8723816016823098
LAT,1991,0.9092604691655767,0.6845172313447098
LAT,1992,1.2287872545178404,0.7583746170664156
LAT,1993,3.30808715063519,1.4683095464060445
LAT,1994,4.51351301243875,1.8565684290333766
LAT,1995,5.68778531713784,1.7834717581806308
LAT,1996,6.560545046659148,2.1448341732098983
LAT,1997,6.579692685303167,2.1820864048864967
LAT,1998,6.720090604140771,2.2180535912973185
LAT,1999,6.963106960419707,2.2966553486724925
LAT,2000,7.0758633029043345,2.0404317285757174
LAT,2001,7.121498028614825,2.0977075088475905
LAT,2002,7.101911338187592,2.549553438863703
LAT,2003,7.145616376351237,2.495492813274875
LAT,2004,7.081647674798023,2.5220296654759564
LAT,2005,7.224007360670447,2.5157416467469917
LAT,2006,7.168683951784647,2.3611079851335424
LAT,2007,6.820517281840788,2.3400471603636412
LAT,2008,6.9057155753643835,2.553415623881739
LAT,2009,6.835961780408745,2.229649636752386
LAT,2010,6.496827917707883,2.6103496583104233
LAT,2011,6.19560651275831,2.8833077515958982
LAT,2012,6.272671037400112,2.713649946815876
LAT,2013,6.2105792835000795,2.9219263442719874
LBR,1945,-11.585380618759222,3.6385182905637294
LBR,1946,-11.834855520512754,3.435420583400018
LBR,1947,-12.471527368468545,3.574527535904063
LBR,1948,-12.581212850588559,3.137532784792002
LBR,1949,-13.252000560002438,3.542016976352899
LBR,1950,-13.86092494750535,3.293500419617306
LBR,1951,-14.067938593074091,3.2776151902450525
LBR,1952,-14.093489273638445,2.8443746450691907
LBR,1953,-13.784494251877407,2.738228388915956
LBR,1954,-13.73550850884909,2.68071623236696
LBR,1955,-13.578587212339594,2.691230657584742
LBR,1956,-13.336982892642528,2.756896963681955
LBR,1957,-13.37191176954293,3.183665513338213
LBR,1958,-13.295797800148323,2.7989643317531043
LBR,1959,-13.02190101540684,2.885158674190437
LBR,1960,-12.576174420990858,2.8486520334793366
LBR,1961,-12.699409424977496,2.5614729577594195
LBR,1962,-12.411561949937779,2.8084470611590406
LBR,1963,-12.366464791184905,3.1075294053538736
LBR,1964,-11.900467536774201,2.889072373107311
LBR,1965,-11.705291594149354,3.207485981421806
LBR,1966,-11.253228904916998,3.1611035457006538
LBR,1967,-10.935337664625932,2.858761997689273
LBR,1968,-10.626777051488268,2.928641062130599
LBR,1969,-10.572501384346687,2.8077817006192296
LBR,1970,-10.089624233250497,2.662580424384609
LBR,1971,-9.932955426032088,2.579206625768058
LBR,1972,-9.71565430378129,2.374363311105149
LBR,1973,-9.1352902982452,2.487345618383781
LBR,1974,-8.841259134046926,2.2465665748313266
LBR,1975,-8.681617664239367,2.283126625993875
LBR,1976,-8.366507714160278,2.468169096329849
